date,liq_sven,liq_resid1,liq_resid2
1965-10,-0.23816967010498047,-0.04920484726367125,
1965-11,-0.5486998558044434,-0.040348406935052594,
1965-12,-0.5128817558288574,-0.04495178124507859,
1966-01,-0.16734790802001953,0.037822455427030555,
1966-02,-2.2797017097473145,-0.040111881910045,
1966-03,-0.9144721031188965,-0.19180025397894518,
1966-04,-0.3623652458190918,-0.06205631681578794,
1966-05,0.7334527969360352,-0.14582246948475053,
1966-06,0.053437232971191406,-0.1542770592430749,
1966-07,-0.25420141220092773,-0.14320434853237263,
1966-08,-2.238583564758301,-0.5383673818603301,
1966-09,-0.9040336608886719,-0.5603102784377443,
1966-10,-0.24704313278198242,-0.3362399981305568,
1966-11,-0.413546085357666,0.06299998413082797,
1966-12,-0.6761670112609863,0.12166869720087892,
1967-01,-0.22489166259765625,0.16908941702582592,
