date,sven_resid
1962-02-09,-0.010984075566468743
1962-02-13,-0.07821621802839296
1962-02-14,-0.002887504857048029
1962-02-15,0.0963118409259458
1962-02-16,0.04806201817834177
1962-02-19,0.07403623671401904
1962-02-20,0.05906707487324203
1962-02-21,0.053212723326216516
1962-02-23,0.07404581626648632
1962-02-26,0.02013485459065656
1962-02-27,0.00344283322672867
1962-02-28,-0.05167802795225107
1962-03-01,-0.11189071175804655
1962-03-02,-0.11600357021527552
1962-03-05,-0.05806006351183024
1962-03-06,-0.06216118015870764
1962-03-07,0.05944025613181436
1962-03-08,0.0846190958225983
1962-03-09,0.10256248398051282
1962-03-12,0.08280073787507591
1962-03-13,0.11774774921264886
1962-03-14,0.10755829427488406
1962-03-15,0.08159922770967576
1962-03-16,0.0707457646097267
